WmoStationNumber,StationNameThai,StationNameEnglish,Province,Latitude,Longitude,DateTime,MeanSeaLevelPressure(mb),Temperature(celcius),MaxTemperature(celcius),DifferentFromMaxTemperature(celcius),MinTemperature(celcius),DifferentFromMinTemperature(celcius),RelativeHumidity(%),WindDirection(degree),WindSpeed(km/h),Rainfall(mm)
48550,เกาะสมุย,KO SAMUI,สุราษฎร์ธานี,9.46667,100.05,2025-06-11 07:00:00,1006.06,28.3,33.0,-1.7,27.5,1.2,79,250.0,3.0,0.0
48555,สุราษฎร์ธานี สกษ.,SURAT THANI AGROMET.,สุราษฎร์ธานี,9.1,99.63333,2025-06-11 07:00:00,1007.69,26.5,31.5,-1.7,26.0,1.2,96,0.0,0.0,5.9
48556,พระแสง สอท.,PHRA SANG,สุราษฎร์ธานี,8.57022,99.25825,2025-06-11 07:00:00,1007.19,24.6,31.3,-1.2,24.1,0.3,96,0.0,0.0,8.1
48552,นครศรีธรรมราช,NAKHONSI THAMMARAT,นครศรีธรรมราช,8.53778,99.94722,2025-06-11 07:00:00,1006.07,26.0,31.4,-2.1,25.0,-0.5,92,0.0,0.0,1.3
48554,นครศรีธรรมราช สกษ.,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช,8.35931,100.0,2025-06-11 07:00:00,1006.51,25.8,31.7,-2.4,25.4,0.4,89,230.0,4.0,0.0
48557,ฉวาง,CHAWANG,นครศรีธรรมราช,8.42472,99.50667,2025-06-11 07:00:00,1007.46,24.4,29.2,-3.5,24.3,0.1,97,0.0,0.0,7.1
48560,พัทลุง สกษ.,PHATTHALUNG AGROMET.,พัทลุง,7.58333,100.16667,2025-06-11 07:00:00,1006.37,26.0,31.2,-2.1,25.6,0.1,93,310.0,4.0,0.8
48561,ตะกั่วป่า,TAKUA PA,พังงา,8.68417,98.25222,2025-06-11 07:00:00,1006.76,28.5,32.0,-0.5,26.5,2.5,78,240.0,6.0,8.0
48564,ภูเก็ต,PHUKET,ภูเก็ต,7.88333,98.4,2025-06-11 07:00:00,1006.6,28.2,30.5,-2.0,26.8,1.8,83,0.0,0.0,44.9
48565,ภูเก็ต (ศูนย์ฯ),PHUKET AIRPORT,ภูเก็ต,8.145,98.31444,2025-06-11 07:00:00,1006.25,29.2,31.4,-0.3,28.3,3.2,77,260.0,6.0,25.0
48566,เกาะลันตา,KO LANTA,กระบี่,7.53333,99.05,2025-06-11 07:00:00,1006.71,28.6,29.2,-1.9,24.2,-2.6,86,270.0,11.0,16.1
48563,กระบี่,KRABI,กระบี่,8.10361,98.97528,2025-06-11 07:00:00,1006.83,25.0,30.0,-1.1,,0.0,98,0.0,0.0,10.0
48567,ตรัง,TRANG AIRPORT,ตรัง,7.51667,99.61667,2025-06-11 07:00:00,1006.93,25.2,29.4,-3.1,24.9,-0.1,96,0.0,0.0,19.5
48571,คอหงษ์ สกษ.,KHO HONG AGROMET.,สงขลา,7.0,100.5,2025-06-11 07:00:00,1006.35,26.4,34.0,0.3,25.3,0.4,92,0.0,0.0,0.0
48574,สะเดา,SA DAO,สงขลา,6.79806,100.39056,2025-06-11 07:00:00,1006.68,24.7,31.2,-1.0,24.3,0.3,96,0.0,0.0,0.0
48568,สงขลา,SONGKHLA,สงขลา,7.18211,100.60769,2025-06-11 07:00:00,1006.49,27.0,32.4,-1.5,25.6,-0.1,89,210.0,1.0,5.0
48569,หาดใหญ่,HAT YAI AIRPORT,สงขลา,6.91667,100.43333,2025-06-11 07:00:00,1006.79,25.4,30.9,-2.0,24.3,0.3,95,990.0,2.0,12.0
48570,สตูล,SATUN,สตูล,6.65,100.08333,2025-06-11 07:00:00,1006.76,26.5,32.0,-0.7,25.7,0.2,95,0.0,0.0,0.0
48580,ปัตตานี,PATTANI AIRPORT,ปัตตานี,6.78333,101.15,2025-06-11 07:00:00,1006.21,25.5,32.9,-0.2,25.2,1.2,92,0.0,0.0,0.0
48581,ยะลา สกษ.,YALA AGROMET.,ยะลา,6.51667,101.28333,2025-06-11 07:00:00,1007.1,25.0,33.0,-0.9,24.5,1.4,92,240.0,4.0,0.0
48583,นราธิวาส,NARATHIWAT,นราธิวาส,6.41667,101.81667,2025-06-11 07:00:00,1006.88,25.0,33.2,0.2,24.2,0.5,88,0.0,0.0,0.0
